,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Brand,lenght_of_names,Model
0,0,Maruti Wagon R LXI CNG,Mumbai,2010,72000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5.0,,1.75,Maruti,5,Wagon R
1,1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,12.5,Hyundai,6,Creta 1.6
2,2,Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,8.61 Lakh,4.5,Honda,3,Jazz
3,3,Maruti Ertiga VDI,Chennai,2012,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,6.0,Maruti,3,Ertiga
4,4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,,17.74,Audi,6,A4 New
5,5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,LPG,Manual,First,21.1 km/kg,814 CC,55.2 bhp,5.0,,2.35,Hyundai,6,EON LPG
6,6,Nissan Micra Diesel XV,Jaipur,2013,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,3.5,Nissan,4,Micra Diesel
7,7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8.0,21 Lakh,17.5,Toyota,7,Innova Crysta
8,8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,5.2,Volkswagen,4,Vento Diesel
9,9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5.0,,1.95,Tata,5,Indica Vista
10,10,Maruti Ciaz Zeta,Kochi,2018,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,10.65 Lakh,9.95,Maruti,3,Ciaz
11,11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.49,Honda,6,City 1.5
12,12,Maruti Swift VDI BSIV,Jaipur,2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,5.6,Maruti,4,Swift VDI
13,13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,27.0,Land,6,Rover Range
14,14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5.0,,17.5,Land,6,Rover Freelander
15,15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,32.01 Lakh,15.0,Mitsubishi,4,Pajero Sport
16,16,Honda Amaze S i-Dtech,Kochi,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.4,Honda,4,Amaze S
17,17,Maruti Swift DDiS VDI,Jaipur,2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,5.99,Maruti,4,Swift DDiS
18,18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.34,Renault,6,Duster 85PS
19,19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5.0,,28.0,Mercedes-Benz,8,New C-Class
20,20,BMW 3 Series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,47.87 Lakh,18.55,BMW,4,3 Series
21,21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,,8.25,Maruti,6,S Cross
22,22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,,23.5,Audi,6,A6 2011-2015
23,23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,1.87,Hyundai,4,i20 1.2
24,24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5.0,,2.85,Volkswagen,5,Vento Petrol
25,25,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.25,Honda,4,City Corporate
26,26,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,4.25,Nissan,4,Micra Diesel
27,27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.75,Maruti,5,Alto K10
28,28,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,10.57 Lakh,9.9,Honda,4,WRV i-VTEC
29,29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7.0,,4.0,Toyota,6,Innova 2.5
30,30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,7.75,Renault,6,Duster 110PS
31,31,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5.0,,6.75,Toyota,4,Corolla Altis
32,32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7.0,,12.5,Mahindra,4,Ssangyong Rexton
33,33,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,,11.5,Audi,4,A6 2.7
34,34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5.0,12.33 Lakh,6.98,Volkswagen,4,Vento 1.6
35,35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5.0,,1.85,Maruti,5,Wagon R
36,36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.12 Lakh,8.63,Maruti,5,Vitara Brezza
37,37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5.0,,4.85,Mahindra,8,KUV 100
38,38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5.0,,28.0,Mercedes-Benz,5,M-Class ML
39,39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,5.0,Volkswagen,5,Polo Diesel
40,40,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.25,Maruti,3,Alto
41,41,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,1.53,Tata,4,Nano LX
42,42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.58,Mahindra,8,KUV 100
43,43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,,4.74,Hyundai,5,i20 Magna
44,44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5.0,23.64 Lakh,8.85,Hyundai,6,Elantra 2.0
45,45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,10.11,Toyota,5,Corolla Altis
46,46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5.0,,4.25,Hyundai,3,Elantra
47,47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7.0,18.64 Lakh,10.95,Toyota,6,Innova Crysta
48,48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,,3.85,Hyundai,5,Xcent 1.1
49,49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6.0,,5.5,Mahindra,4,Thar CRDe
50,50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,21.43,Audi,8,A4 2.0
51,51,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.25,Maruti,3,Swift
52,52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,,3.3,Maruti,4,Swift Ldi
53,53,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,3.85,Maruti,3,Swift
54,54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5.0,,3.6,Hyundai,4,Grand i10
55,55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,,3.99,Volkswagen,5,Vento 2013-2015
56,56,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,3.3,Renault,3,KWID
57,57,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.07,Hyundai,3,i10
58,58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5.0,,7.75,Nissan,4,X-Trail SLX
59,59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5.0,,2.25,Maruti,5,Zen Estilo
60,60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.34 Lakh,16.5,Toyota,7,Innova Crysta
61,61,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.75,Ford,4,Figo Diesel
62,62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,,26.7,Mercedes-Benz,7,New C-Class
63,63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5.0,,10.0,Mercedes-Benz,6,New C-Class
64,64,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,2.5,Tata,4,Indica V2
65,65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,,13.5,Audi,5,A4 2.0
66,66,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5.0,,1.85,Honda,4,City ZX
67,67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,49.14 Lakh,35.67,Mercedes-Benz,5,C-Class Progressive
68,68,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,,8.15,Maruti,4,Ertiga SHVS
69,69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5.0,11.81 Lakh,10.5,Hyundai,6,Creta 1.4
70,70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5.0,,14.5,Porsche,4,Cayenne 2009-2014
71,71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,9.65,Mahindra,4,XUV500 W8
72,72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5.0,,3.48,Hyundai,5,i10 Sportz
73,73,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5.0,16.65 Lakh,6.92,Nissan,5,Terrano XV
74,74,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5.0,,6.46,Honda,4,Brio VX
75,75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5.0,,29.5,Audi,6,A6 2.0
76,76,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5.0,,2.0,Ford,5,Fiesta 1.4
77,77,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8.0,,4.5,Toyota,4,Innova 2.0
78,78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,11.75,Toyota,7,Innova 2.5
79,79,Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5.0,,1.3,Hyundai,4,Santro Xing
80,80,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,3.75,Maruti,3,Swift
81,81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,6.67 Lakh,4.5,Tata,5,Zest Revotron
82,82,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,4.82,Honda,4,Amaze SX
83,83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.8,Ford,4,Figo Diesel
84,84,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.11,Maruti,3,Ritz
85,85,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,3.25,Honda,5,City i
86,86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5.0,,13.9,BMW,5,5 Series
87,87,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.25,Hyundai,4,i10 Sportz
88,88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.75,Hyundai,4,Grand i10
89,89,Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,,2.1,Hyundai,4,Santro Xing
90,90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,5.0,Honda,4,Amaze SX
91,91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,16.5,Toyota,4,Fortuner 4x2
